class,IRM_rate,percentage_pop
White Male,0.095,0.733
White Female,0.094,0.733
Hispanic Male,0.259,0.17
Hispanic Female,0.254,0.17
Black Male,0.236,0.126
Black Female,0.093,0.126
Asian Male,0.166,0.052
Asian Female,0.361,0.052
